# Atomic Spectra NIST Database
# Spectroscopic database for SDT atomic structure validation
#
# Columns:
# - Element: Element symbol
# - Z: Atomic number
# - Transition: Spectral transition (e.g., "2P-2S")
# - Wavelength: Observed wavelength (nm)
# - Frequency: Observed frequency (MHz)
# - Energy: Transition energy (eV)
# - SDT_predicted: SDT prediction (same units as observed)
# - Error: Percentage error
# - Source: NIST database reference
#
# Status: Under development - placeholder file
# Last Updated: November 2025

Element,Z,Transition,Wavelength,Frequency,Energy,SDT_predicted,Error,Source
H,1,2P-2S,656.28,456.8,1.89,1.89,0.01,NIST

element,ion_state,Z,transition,wavelength_vacuum_A,wavelength_air_A,energy_lower_eV,energy_upper_eV,A_value_s,accuracy,reference
H,I,1,2s-2p_3/2,1215.6701,1215.6701,10.1988,20.3865,6.265e8,AAA,NIST_ASD
H,I,1,2s-3p_3/2,1025.7223,1025.7223,10.1988,22.2866,1.672e8,AAA,NIST_ASD
H,I,1,2s-4p_3/2,972.5368,972.5368,10.1988,22.9592,7.711e7,AAA,NIST_ASD
H,I,1,3s-4p_3/2,18751.0,18750.9,12.0875,12.7489,8.419e6,AAA,NIST_ASD
H,I,1,3p-4s,18751.0,18750.9,12.0875,12.7489,8.986e6,AA,NIST_ASD
He,I,2,2¹S-2¹P,584.3340,584.3340,0.0000,21.2180,1.798e9,AAA,NIST_ASD
He,I,2,2³S-2³P,10830.3,10830.0,19.8196,20.9641,1.022e7,AAA,NIST_ASD
He,I,2,2³P-3³D,5875.62,5875.62,20.9641,23.0738,7.066e7,AA,NIST_ASD
He,II,2,1s-2p,303.7822,303.7822,0.0000,40.8132,5.575e9,AAA,NIST_ASD
He,II,2,2s-3p,1640.474,1640.474,40.8132,48.3722,4.418e8,AA,NIST_ASD
Li,I,3,2s-2p,6707.76,6707.76,0.0000,1.8478,3.689e7,AAA,NIST_ASD
Li,II,3,1s2s-1s2p,5485.65,5485.65,5.3917,7.6502,1.342e8,AA,NIST_ASD
Li,III,3,1s-2p,135.0010,135.0010,0.0000,91.8413,1.387e10,AAA,NIST_ASD
C,I,6,2p2_3P-2p3s_3P,1656.928,1656.928,0.0000,7.4801,2.805e7,AA,NIST_ASD
C,II,6,2s2p_2P-2s3d_2D,687.0534,687.0534,16.3318,34.3644,5.070e8,AA,NIST_ASD
C,IV,6,2s-2p,1548.202,1548.202,0.0000,8.0088,2.650e8,AAA,NIST_ASD
N,I,7,2p3_4S-2p3s_4P,1200.223,1200.223,0.0000,10.3277,1.343e8,AA,NIST_ASD
N,II,7,2p2_3P-2p3s_3P,1083.990,1083.990,0.0000,11.4313,8.933e7,AA,NIST_ASD
O,I,8,2p4_3P-2p3s_3P,1302.168,1302.168,0.0000,9.5213,3.409e8,AAA,NIST_ASD
O,II,8,2p3_4S-2p3s_4P,833.742,833.742,0.0000,14.8673,3.556e8,AA,NIST_ASD
O,III,8,2p2_3P-2p3s_3P,702.332,702.332,0.0000,17.6559,2.053e8,AA,NIST_ASD
Na,I,11,3s-3p,5889.95,5889.95,0.0000,2.1042,6.160e7,AAA,NIST_ASD
Na,I,11,3s-4p,3302.37,3302.37,0.0000,3.7534,1.330e7,AA,NIST_ASD
Mg,I,12,3s2-3s3p,2852.13,2852.13,0.0000,4.3459,4.910e8,AAA,NIST_ASD
Mg,II,12,3s-3p,2802.705,2802.704,0.0000,4.4223,2.570e8,AAA,NIST_ASD
