# Planetary Parameters Dataset
# Stellar system data for SDT orbital mechanics validation
#
# Columns:
# - Body: Celestial body name
# - Baryon Count
# - Leptonic Count
R: Radius (m)
# - a: Semi-major axis (m)
# - T: Orbital period (s)
# - v_orbital: Orbital velocity (m/s)
# - beta: SDT gravitational parameter (m³/s²)
# - k_factor: SDT k-factor
# - SDT_predicted_T: Predicted period from SDT (s)
# - Error: Percentage error
#
# Status: Under development - placeholder file
# Last Updated: November 2025

Star_Name,Planet_Name,Semi_major_axis_AU,Orbital_period_days,Planet_radius_earth,Planet_mass_earth,Eccentricity,Discovery_method,Discovery_year,Status
HD209458,HD209458_b,0.04747,3.52474,1.359,220.0,0.014,Transit,1999,Validated
51_Pegasi,51_Peg_b,0.0527,4.230785,1.9,150.0,0.013,RV,1995,Validated
Proxima_Centauri,Proxima_b,0.0485,11.186,1.07,1.27,0.11,RV,2016,Validated
Proxima_Centauri,Proxima_d,0.029,5.122,0.81,0.26,0.04,RV,2022,Validated
Alpha_Centauri_B,Alpha_Cen_Bb,0.04,3.236,1.1,1.13,0.0,RV,2012,Controversial
TRAPPIST-1,TRAPPIST-1b,0.01154,1.51087,1.116,1.374,0.00622,Transit,2016,Validated
TRAPPIST-1,TRAPPIST-1c,0.01580,2.42182,1.097,1.308,0.00654,Transit,2016,Validated
TRAPPIST-1,TRAPPIST-1d,0.02227,4.04961,0.788,0.388,0.00837,Transit,2016,Validated
TRAPPIST-1,TRAPPIST-1e,0.02925,6.09961,0.920,0.692,0.00510,Transit,2016,Validated
TRAPPIST-1,TRAPPIST-1f,0.03849,9.20669,1.045,1.039,0.01007,Transit,2016,Validated
TRAPPIST-1,TRAPPIST-1g,0.04683,12.35294,1.129,1.321,0.00208,Transit,2016,Validated
TRAPPIST-1,TRAPPIST-1h,0.06189,18.767,0.755,0.326,0.00567,Transit,2016,Validated
Tau_Ceti,Tau_Ceti_e,0.538,168.12,1.69,4.29,0.18,RV,2017,Candidate
Tau_Ceti,Tau_Ceti_f,0.334,91.94,1.5,3.93,0.16,RV,2017,Candidate
Tau_Ceti,Tau_Ceti_g,0.133,20.0,1.75,1.75,0.06,RV,2017,Candidate
Tau_Ceti,Tau_Ceti_h,0.243,49.41,1.83,1.83,0.23,RV,2017,Candidate
Epsilon_Eridani,Epsilon_Eri_b,3.39,2502.1,11.0,2530.0,0.702,RV,2000,Validated
Barnard_Star,Barnard_b,0.404,233.0,1.3,3.23,0.32,RV,2018,Candidate
Lalande_21185,Lalande_21185_b,2.52,2627.0,9.5,1890.0,0.27,RV,2019,Candidate
Ross_128,Ross_128_b,0.049,9.866,1.1,1.35,0.036,RV,2017,Validated
Groombridge_34A,GJ_1111_b,0.453,2664.0,9.2,1580.0,0.15,RV,2014,Candidate
Kapteyn_Star,Kapteyn_b,0.168,48.62,1.5,4.8,0.21,RV,2014,Candidate
Kapteyn_Star,Kapteyn_c,0.311,121.54,1.8,7.0,0.23,RV,2014,Candidate
61_Cygni_A,61_Cyg_A_b,1.68,1655.0,7.8,1060.0,0.16,Imaging,2022,Candidate
61_Cygni_B,61_Cyg_B_b,2.09,3811.0,8.5,1420.0,0.21,RV,2009,Candidate
Epsilon_Indi_A,Epsilon_Ind_Ab,11.55,45000.0,12.0,3250.0,0.26,Imaging,2018,Validated
Kepler-186,Kepler-186f,0.432,129.9,1.17,1.71,0.04,Transit,2014,Validated
Kepler-186,Kepler-186e,0.110,22.4,1.27,2.15,0.0,Transit,2014,Validated
Kepler-186,Kepler-186d,0.078,13.3,1.40,2.54,0.0,Transit,2014,Validated
Kepler-186,Kepler-186c,0.045,7.3,1.17,1.71,0.0,Transit,2014,Validated
Kepler-186,Kepler-186b,0.034,3.9,1.07,1.24,0.0,Transit,2014,Validated
Vega,Vega_debris_disk,NA,NA,NA,NA,NA,IR_excess,2005,Disk_only
Fomalhaut,Fomalhaut_b,115.0,1700.0,16.0,3000.0,0.11,Imaging,2008,Validated
Altair,Altair_b,NA,NA,NA,NA,NA,None,NA,None_detected
Sirius_A,Sirius_A_debris,NA,NA,NA,NA,NA,None,NA,None_detected
Procyon_A,Procyon_A_b,NA,NA,NA,NA,NA,None,NA,Claimed_retracted

s
