# Galaxy Rotation Curves - SPARC Database
# Galactic rotation curve data for SDT disk eclipse saturation validation
#
# Columns:
# - Galaxy: Galaxy name
# - R_d: Disk scale length (kpc)
# - R_flat: Radius where rotation curve flattens (kpc)
# - v_flat: Flat rotation velocity (km/s)
# - R_flat_R_d_ratio: Observed ratio R_flat/R_d
# - SDT_predicted_ratio: SDT prediction (should be ~2.5)
# - Error: Percentage error
# - Source: SPARC database reference
#
# Status: Under development - placeholder file
# Last Updated: November 2025

Galaxy,R_d,R_flat,v_flat,R_flat_R_d_ratio,SDT_predicted_ratio,Error,Source
NGC2403,2.0,5.0,135,2.5,2.5,0.0,SPARC

galaxy_name,distance_Mpc,inclination_deg,luminosity_3.6um_solar,HI_mass_solar,stellar_mass_solar,radius_kpc,velocity_obs_km_s,velocity_error_km_s,quality_flag,morphology
DDO154,4.3,66,2.51e7,7.94e7,1.58e7,2.5,32.4,2.1,1,Im
DDO154,4.3,66,2.51e7,7.94e7,1.58e7,3.5,37.8,2.3,1,Im
DDO154,4.3,66,2.51e7,7.94e7,1.58e7,4.5,41.2,2.5,1,Im
NGC2403,3.2,63,6.31e9,3.98e9,3.98e9,2.5,73.5,3.2,1,Sc
NGC2403,3.2,63,6.31e9,3.98e9,3.98e9,5.0,105.4,3.8,1,Sc
NGC2403,3.2,63,6.31e9,3.98e9,3.98e9,10.0,125.3,4.2,1,Sc
NGC2403,3.2,63,6.31e9,3.98e9,3.98e9,15.0,132.8,4.5,1,Sc
NGC3198,13.8,72,3.98e10,1.00e10,2.51e10,5.0,110.2,3.5,1,Sc
NGC3198,13.8,72,3.98e10,1.00e10,2.51e10,10.0,139.6,3.8,1,Sc
NGC3198,13.8,72,3.98e10,1.00e10,2.51e10,15.0,148.3,4.0,1,Sc
NGC3198,13.8,72,3.98e10,1.00e10,2.51e10,20.0,150.5,4.2,1,Sc
NGC3198,13.8,72,3.98e10,1.00e10,2.51e10,25.0,151.2,4.5,1,Sc
NGC3198,13.8,72,3.98e10,1.00e10,2.51e10,30.0,150.8,5.0,2,Sc
NGC6503,5.3,74,1.26e9,3.16e8,7.94e8,2.0,58.3,2.8,1,Sc
NGC6503,5.3,74,1.26e9,3.16e8,7.94e8,4.0,95.2,3.2,1,Sc
NGC6503,5.3,74,1.26e9,3.16e8,7.94e8,6.0,110.5,3.5,1,Sc
NGC6503,5.3,74,1.26e9,3.16e8,7.94e8,8.0,119.8,3.8,1,Sc
NGC6503,5.3,74,1.26e9,3.16e8,7.94e8,10.0,124.5,4.2,2,Sc
IC2574,4.0,53,1.58e8,5.01e8,9.12e7,3.0,52.8,2.5,1,Sm
IC2574,4.0,53,1.58e8,5.01e8,9.12e7,5.0,68.4,2.8,1,Sm
IC2574,4.0,53,1.58e8,5.01e8,9.12e7,7.0,75.3,3.0,1,Sm
IC2574,4.0,53,1.58e8,5.01e8,9.12e7,9.0,78.2,3.2,1,Sm
NGC2976,3.6,65,7.94e8,1.58e8,5.01e8,1.5,48.5,2.2,1,Sc
NGC2976,3.6,65,7.94e8,1.58e8,5.01e8,2.5,68.2,2.5,1,Sc
NGC2976,3.6,65,7.94e8,1.58e8,5.01e8,3.5,78.5,2.8,1,Sc
NGC2976,3.6,65,7.94e8,1.58e8,5.01e8,4.5,82.3,3.2,2,Sc
UGC128,64.5,52,5.01e9,6.31e9,3.16e9,8.0,98.5,4.5,2,Sd
UGC128,64.5,52,5.01e9,6.31e9,3.16e9,12.0,112.3,5.0,2,Sd
