# Planetary Parameters Dataset
# Solar system data for SDT orbital mechanics validation
# SDT uses k_factor (Ϟ) directly - no beta, no GM, no mass
#
# Columns:
# - Body: Celestial body name
# - R: Radius (m) - for primary bodies; 0 for satellites/orbits
# - a: Semi-major axis (m) - distance from primary body
# - T: Orbital period (s)
# - v_orbital: Orbital velocity (m/s) - calculated from v = 2πa/T
# - k_factor: SDT k-factor (Ϟ) - primary's k_factor for satellites
# - SDT_predicted_T: Predicted period from SDT (s) - T = 2πϞ√(a³/R)/c
# - Error: Percentage error between observed and predicted period
#
# Orbital velocity law: v(r) = (c/Ϟ)√(R/r)
# For circular orbits: v = 2πr/T
# Solving for period: T = 2πϞ√(r³/R)/c
# For satellites, use primary's R and k_factor.
#
# All calculations shown in detail in: tools/planetary_calculations_detailed.txt
#
# Status: Real observational data from JPL ephemerides and NASA PDS
# Last Updated: November 2025

Body,R,a,T,v_orbital,k_factor,SDT_predicted_T,Error
Sun,6.957E+08,0.000E+00,0.000E+00,0.00,686.42,0.000E+00,0.00
Mercury,2.439E+06,5.791E+10,7.600E+06,47876.22,686.42,7.601E+06,0.01
Venus,6.052E+06,1.082E+11,1.941E+07,35025.28,686.42,1.941E+07,0.01
Earth,6.371E+06,1.496E+11,3.156E+07,29783.41,686.42,3.156E+07,0.00
Mars,3.390E+06,2.279E+11,5.935E+07,24127.01,686.42,5.934E+07,0.02
Jupiter,6.991E+07,7.785E+11,3.743E+08,13068.29,686.42,3.746E+08,0.09
Saturn,5.823E+07,1.433E+12,9.293E+08,9688.80,686.42,9.356E+08,0.68
Uranus,2.536E+07,2.867E+12,2.651E+09,6795.13,686.42,2.648E+09,0.12
Neptune,2.462E+07,4.515E+12,5.200E+09,5455.50,686.42,5.233E+09,0.63
Moon,1.737E+06,3.844E+08,2.361E+06,1022.98,37902.41,2.372E+06,0.46
ISS,0.000E+00,6.780E+06,5.540E+03,7689.53,37902.41,5.556E+03,0.29
Hubble,0.000E+00,6.918E+06,5.724E+03,7593.83,37902.41,5.726E+03,0.04
GPS_Satellite,0.000E+00,2.656E+07,4.320E+04,3863.00,37902.41,4.308E+04,0.28
Geostationary,0.000E+00,4.216E+07,8.616E+04,3074.36,37902.41,8.615E+04,0.01
Galileo_Satellite,0.000E+00,2.322E+07,5.046E+04,2891.31,37902.41,3.521E+04,30.22
GOES_16,0.000E+00,4.216E+07,8.616E+04,3074.36,37902.41,8.615E+04,0.01
Iridium_33,0.000E+00,7.780E+06,6.024E+03,8114.74,37902.41,6.829E+03,13.37
