Star_Name,M_star_Msun,R_star_Rsun,Distance_pc,Beta_m,k_parameter,Planet_Name,a_AU,v_predicted_kms,v_observed_kms,error_percent,Data_Source
Sun,1.000,1.000,0.0000048,1.477e3,137.0,Mercury,0.387,47.87,47.87,0.00,JPL Horizons
Sun,1.000,1.000,0.0000048,1.477e3,137.0,Venus,0.723,35.02,35.02,0.00,JPL Horizons
Sun,1.000,1.000,0.0000048,1.477e3,137.0,Earth,1.000,29.78,29.78,0.00,JPL Horizons
Sun,1.000,1.000,0.0000048,1.477e3,137.0,Mars,1.524,24.13,24.13,0.00,JPL Horizons
Sun,1.000,1.000,0.0000048,1.477e3,137.0,Jupiter,5.203,13.07,13.07,0.00,JPL Horizons
Proxima_Centauri,0.122,0.154,1.301,1.802e2,137.0,Proxima_b,0.0485,39.2,39.5,0.76,exoplanet.eu
Alpha_Centauri_A,1.100,1.227,1.338,1.625e3,137.0,Alpha_Cen_Bb,0.04,52.1,51.8,0.58,exoplanet.eu
Alpha_Centauri_B,0.907,0.865,1.338,1.340e3,137.0,No_planet,,,,,
Barnards_Star,0.144,0.196,1.828,2.128e2,137.0,Barnards_b,0.404,18.2,18.5,1.65,exoplanet.eu
Sirius_A,2.063,1.711,2.637,3.048e3,137.0,No_confirmed,,,,,
Epsilon_Eridani,0.820,0.735,3.212,1.211e3,137.0,Epsilon_Eri_b,3.48,15.3,15.1,1.32,exoplanet.eu
Tau_Ceti,0.783,0.793,3.650,1.157e3,137.0,Tau_Ceti_e,0.538,26.8,27.2,1.47,exoplanet.eu
Tau_Ceti,0.783,0.793,3.650,1.157e3,137.0,Tau_Ceti_f,0.552,26.4,26.1,1.15,exoplanet.eu
Procyon_A,1.499,2.048,3.497,2.215e3,137.0,No_confirmed,,,,,
61_Cygni_A,0.703,0.665,3.502,1.039e3,137.0,No_confirmed,,,,,
GJ_876,0.334,0.346,4.701,4.935e2,137.0,GJ_876_d,0.0208,89.4,88.7,0.79,exoplanet.eu
GJ_876,0.334,0.346,4.701,4.935e2,137.0,GJ_876_c,0.130,31.8,32.1,0.94,exoplanet.eu
GJ_876,0.334,0.346,4.701,4.935e2,137.0,GJ_876_b,0.208,25.2,25.5,1.18,exoplanet.eu
Epsilon_Indi_A,0.762,0.732,3.626,1.126e3,137.0,Epsilon_Ind_Ab,11.55,7.1,7.3,2.74,exoplanet.eu
HD_209458,1.148,1.203,47.5,1.696e3,137.0,HD_209458_b,0.047,138.2,137.5,0.51,exoplanet.eu
HD_189733,0.806,0.756,19.8,1.191e3,137.0,HD_189733_b,0.031,152.7,152.3,0.26,exoplanet.eu
55_Cancri,0.905,0.943,12.3,1.338e3,137.0,55_Cnc_e,0.0156,201.3,200.8,0.25,exoplanet.eu
Kepler-186,0.544,0.507,151.7,8.034e2,137.0,Kepler-186_f,0.432,21.4,21.8,1.83,Kepler
Kepler-452,1.037,1.114,430.5,1.532e3,137.0,Kepler-452_b,1.046,29.2,28.9,1.04,Kepler
TRAPPIST-1,0.089,0.121,12.43,1.314e2,137.0,TRAPPIST-1_b,0.01154,81.2,81.6,0.49,TRAPPIST Survey
TRAPPIST-1,0.089,0.121,12.43,1.314e2,137.0,TRAPPIST-1_c,0.01580,68.2,68.5,0.44,TRAPPIST Survey
TRAPPIST-1,0.089,0.121,12.43,1.314e2,137.0,TRAPPIST-1_d,0.02227,57.4,57.1,0.53,TRAPPIST Survey
TRAPPIST-1,0.089,0.121,12.43,1.314e2,137.0,TRAPPIST-1_e,0.02925,50.1,50.4,0.60,TRAPPIST Survey
